day_date,open_value,high_value,low_value,close_value,volume,ticker_symbol
1/2/2015,27.8475,27.860001,26.8375,27.3325,212818400,AAPL
1/5/2015,27.0725,27.1625,26.352501,26.5625,257142000,AAPL
1/6/2015,26.635,26.8575,26.157499,26.565001,263188400,AAPL
1/7/2015,26.799999,27.049999,26.674999,26.9375,160423600,AAPL
1/8/2015,27.307501,28.0375,27.174999,27.9725,237458000,AAPL
1/9/2015,28.1675,28.3125,27.5525,28.002501,214798000,AAPL
1/12/2015,28.15,28.157499,27.200001,27.3125,198603200,AAPL
1/13/2015,27.8575,28.200001,27.227501,27.555,268367600,AAPL
1/14/2015,27.26,27.622499,27.125,27.450001,195826400,AAPL
1/15/2015,27.5,27.514999,26.665001,26.705,240056000,AAPL
1/16/2015,26.7575,26.895,26.299999,26.497499,314053200,AAPL
1/20/2015,26.959999,27.2425,26.625,27.18,199599600,AAPL
1/21/2015,27.237499,27.764999,27.067499,27.387501,194303600,AAPL
1/22/2015,27.565001,28.1175,27.43,28.1,215185600,AAPL
1/23/2015,28.075001,28.4375,27.8825,28.245001,185859200,AAPL
1/26/2015,28.434999,28.59,28.200001,28.275,222460000,AAPL
1/27/2015,28.105,28.120001,27.2575,27.285,382274800,AAPL
1/28/2015,29.407499,29.530001,28.827499,28.827499,585908400,AAPL
1/29/2015,29.08,29.797501,28.889999,29.725,337745600,AAPL
1/30/2015,29.6,30,29.2125,29.290001,334982000,AAPL
2/2/2015,29.512501,29.7925,29.02,29.657499,250956400,AAPL
2/3/2015,29.625,29.772499,29.4025,29.6625,207662800,AAPL
2/4/2015,29.625,30.127501,29.577499,29.889999,280598800,AAPL
2/5/2015,30.004999,30.057501,29.8125,29.985001,168984800,AAPL
2/6/2015,30.004999,30.0625,29.612499,29.7325,174826400,AAPL
2/9/2015,29.637501,29.959999,29.6075,29.93,155559200,AAPL
2/10/2015,30.0425,30.5375,30.040001,30.504999,248034000,AAPL
2/11/2015,30.692499,31.23,30.625,31.219999,294247200,AAPL
2/12/2015,31.514999,31.870001,31.3925,31.615,297898000,AAPL
2/13/2015,31.82,31.82,31.4125,31.77,217088800,AAPL
2/17/2015,31.872499,32.220001,31.73,31.9575,252609600,AAPL
